Fish #,day,mo,Date,    Species,location,Exposure,Relation to Farm,water temp,length cm,weight g,L/W.Ratio,W/L.Ratio,K(cond.Fac),lice/g,lice/g.trans,Farm.NoFarm,Lice.Y.N,Total lice,Tot.Lice.Trans,Intensity.Trans,<.>.1.6.per.g,Ch/ I-II-Lep,Ch/III-IV-Lep,unid subadult,CI-IV Caligus,preadult 1 Lep-male,preadult 1 Lep-female,preadult 2 Lep-male,preadult 2 Lep-female,unid adult,adult male-Lep,virgin-Lep,adult female non-gravid-Lep,gravid female-Lep ,adult male-Caligus,adult female-Caligus,gravid Caligus,   other comments,site of lice attachment,
640,26,6,19/06/2001,pink,Popplewell Pt,3,seaward of farms,,8.0,5.22,1.533,0.653,1.020,0.38,0.139879086401236,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,silver bright,
641,26,6,15/06/2001,pink,Rainy Point,this one could be ,seaward of farms,,8.2,5.15,1.592,0.628,0.934,0.39,0.143014800254095,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,silver bright,
642,26,6,15/06/2001,pink,Rainy Point,"""no farms"" or",between farms,,7.8,4.94,1.579,0.633,1.041,0.4,0.146128035678238,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Caligus teres,silver bright,
643,26,6,15/06/2001,pink,Rainy Point,"""between farms""",between farms,,7.8,4.60,1.696,0.590,0.969,0.43,0.155336037465062,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
644,26,6,15/06/2001,pink,Rainy Point,depending on fry,between farms,,8.2,4.46,1.839,0.544,0.809,0.49,0.173186268412274,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,
645,28,6,15/06/2001,pink,Rainy Point,movement,between farms,,7.8,4.04,1.931,0.518,0.851,0.5,0.176091259055681,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mate guarding pair,,
646,28,6,15/06/2001,pink,Rainy Point,maybe omit,between farms,,6.5,3.72,1.747,0.572,1.355,0.53,0.184691430817599,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,all transparent,bright clean,
647,28,6,20/06/2001,pink,Sedgley Cove,,near farm,,7.5,3.50,2.143,0.467,0.830,0.57,0.195899652409234,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
648,28,6,20/06/2001,pink,Sedgley Cove,3,near farm,,6.6,3.20,2.063,0.485,1.113,0.63,0.212187604403958,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,all transparent,clean fish,
649,28,6,20/06/2001,pink,Sedgley Cove,3,near farm,,6.8,2.93,2.321,0.431,0.932,0.68,0.225309281725863,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,all transparent,"bright, clean fish",
650,28,6,20/06/2001,pink,Sedgley Cove,3,near farm,,6.5,2.89,2.249,0.445,1.052,0.69,0.227886704613674,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,all transparent,,
651,28,6,20/06/2001,pink,Sedgley Cove,3,near farm,,5.6,2.85,1.965,0.509,1.623,0.7,0.230448921378274,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
652,28,6,20/06/2001,pink,Sedgley Cove,3,near farm,,6.2,2.78,2.230,0.448,1.166,0.72,0.235528446907549,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
653,28,6,20/06/2001,pink,Sedgley Cove,3,near farm,,6.5,2.69,2.416,0.414,0.980,0.74,0.2405492482826,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,both mediums black,,
654,28,6,2001-01-07,pink,Sharp Point,3,between farms,,6.3,2.65,2.377,0.421,1.060,0.75,0.243038048686294,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,all transparent,,
655,28,6,2001-01-07,pink,Sharp Point,3,between farms,,6.5,2.51,2.590,0.386,0.914,0.8,0.255272505103306,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,"Large w/ brown stripe, very bright, clean fish",
656,28,6,2001-01-07,pink,Sharp Point,3,between farms,,5.7,2.46,2.317,0.432,1.328,0.81,0.257678574869184,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,one adult has short tail,pinpricks,
657,28,6,2001-01-07,pink,Sharp Point,3,between farms,,6.0,2.44,2.459,0.407,1.130,0.82,0.260071387985075,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,all transparent,"bright, clean fish",
658,28,6,14/06/2001,pink,Smith Rock,3,between farms,,6.2,2.44,2.541,0.394,1.024,0.82,0.260071387985075,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,mate guarding pair,black dents,
659,28,6,14/06/2001,pink,Smith Rock,3,between farms,,5.9,2.40,2.458,0.407,1.169,0.83,0.262451089730429,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,rupture beind pec,
660,28,6,14/06/2001,pink,Smith Rock,3,between farms,,6.0,2.40,2.500,0.400,1.111,0.83,0.262451089730429,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
661,28,6,14/06/2001,pink,Smith Rock,3,between farms,,5.9,2.37,2.489,0.402,1.154,0.84,0.264817823009536,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,pin pricks in flesh,
662,28,6,14/06/2001,pink,Smith Rock,3,between farms,,6.3,2.37,2.658,0.376,0.948,0.84,0.264817823009536,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,silver bright,,
663,28,6,14/06/2001,pink,Smith Rock,3,between farms,,5.6,2.30,2.435,0.411,1.310,0.87,0.271841606536499,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,teeth marks on tail stock,
664,28,6,14/06/2001,pink,Smith Rock,3,between farms,,6.7,2.23,3.004,0.333,0.741,0.9,0.278753600952829,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mate guarding pair,,
665,28,6,14/06/2001,pink,Smith Rock,3,between farms,,6.5,2.18,2.982,0.335,0.794,0.92,0.28330122870355,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"bright, clean fish",
666,28,6,14/06/2001,pink,Smith Rock,3,between farms,,5.5,2.09,2.632,0.380,1.256,0.96,0.292256071356476,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,clean fish,
667,28,6,14/06/2001,pink,Smith Rock,3,between farms,,5.7,2.05,2.780,0.360,1.107,0.97,0.294466226161593,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,all transparent,"bright, clean fish",
668,28,6,14/06/2001,pink,Smith Rock,3,between farms,,5.4,2.03,2.660,0.376,1.289,0.99,0.298853076409707,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
669,28,6,14/06/2001,pink,Smith Rock,3,between farms,,6.0,2.00,3.000,0.333,0.926,1,0.301029995663981,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
670,28,6,14/06/2001,pink,Smith Rock,3,between farms,,5.9,1.96,3.010,0.332,0.954,1.02,0.305351369446624,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,1 black dent,
671,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.6,1.91,2.932,0.341,1.088,1.05,0.311753861055754,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1 dark adult,pinpricks,
672,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.0,1.89,3.175,0.315,0.875,1.06,0.313867220369153,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,raw wounds black dents,
673,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.2,1.85,2.811,0.356,1.316,1.08,0.318063334962762,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
674,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.7,1.85,3.081,0.325,0.999,1.08,0.318063334962762,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,all transparent,"boil, pinpricks",
675,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.3,1.83,2.896,0.345,1.229,1.09,0.320146286111054,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
676,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.6,1.83,3.060,0.327,1.042,1.09,0.320146286111054,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
677,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.5,1.77,3.107,0.322,1.064,1.13,0.328379603438738,Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,"black lesions, scrapes",
678,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.2,1.74,2.989,0.335,1.237,1.15,0.332438459915605,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,all transparent,ruptured behind rt pec,
679,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.2,1.68,3.095,0.323,1.195,1.19,0.340444114840118,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,pinpricks,
680,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.2,1.53,3.399,0.294,1.088,1.31,0.363611979892144,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
681,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.0,1.50,3.333,0.300,1.200,1.33,0.367355921026019,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,open wounds,
682,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.3,1.48,3.581,0.279,0.994,1.35,0.371067862271736,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"adult lice size, but transparent w/ spots",,
683,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.4,1.33,4.060,0.246,0.845,1.5,0.397940008672038,Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,raw circle under chin,
684,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,4.6,1.30,3.538,0.283,1.336,1.53,0.403120521175818,Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
685,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,7.9,5.11,1.546,0.647,1.036,0.39,0.143014800254095,No.Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
686,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,7.1,3.66,1.940,0.515,1.023,0.55,0.190331698170292,No.Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
687,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,7.1,3.35,2.119,0.472,0.936,0.6,0.204119982655925,No.Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
688,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.2,3.06,2.026,0.494,1.284,0.65,0.217483944213906,No.Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
689,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.0,2.99,2.007,0.498,1.384,0.67,0.222716471147583,No.Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,raw spots,
690,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.2,2.45,2.531,0.395,1.028,0.76,0.24551266781415,No.Farm,Y,2,0.477121254719662,0.477121254719662,LT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,2 black dents,
691,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.2,2.33,2.661,0.376,0.978,0.86,0.269512944217916,No.Farm,Y,2,0.477121254719662,0.477121254719662,LT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
692,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.3,2.96,2.128,0.470,1.184,0.99,0.298853076409707,No.Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,bright,
693,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.4,1.75,3.086,0.324,1.111,1.14,0.330413773349191,No.Farm,Y,2,0.477121254719662,0.477121254719662,LT,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,all transparent,1 black dent,
694,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,8.5,5.40,1.574,0.635,0.879,0.56,0.193124598354462,Farm,Y,3,0.602059991327962,0.602059991327962,LT,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,,silver bright,
695,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,7.2,5.09,1.415,0.707,1.364,0.59,0.201397124320451,Farm,Y,3,0.602059991327962,0.602059991327962,LT,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,silver bright,
696,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,7.9,4.90,1.612,0.620,0.994,0.61,0.20682587603185,Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,
697,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,7.5,4.87,1.540,0.649,1.154,0.62,0.209515014542631,Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,f.f. w/ smolts in it; all transparent,one large on each side,
698,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,8.4,4.69,1.791,0.558,0.791,0.64,0.214843848047698,Farm,Y,3,0.602059991327962,0.602059991327962,LT,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,pin prick wounds,
699,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,7.8,4.55,1.714,0.583,0.959,0.66,0.220108088040055,Farm,Y,3,0.602059991327962,0.602059991327962,LT,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,photo,,
700,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,7.1,4.45,1.596,0.627,1.243,0.67,0.222716471147583,Farm,Y,3,0.602059991327962,0.602059991327962,LT,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,one dark adult,bright clean,
701,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,7.6,3.64,2.088,0.479,0.829,0.82,0.260071387985075,Farm,Y,3,0.602059991327962,0.602059991327962,LT,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Caligus teres,silver bright,
702,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.6,3.45,1.913,0.523,1.200,0.86,0.269512944217916,Farm,Y,3,0.602059991327962,0.602059991327962,LT,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,
703,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.5,3.23,2.012,0.497,1.176,0.93,0.285557309007774,Farm,Y,3,0.602059991327962,0.602059991327962,LT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
704,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.5,3.14,2.070,0.483,1.143,0.95,0.290034611362518,Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,large dark,"opaque eyeballs, pinpricks black dents",
705,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.5,2.93,2.218,0.451,1.067,1.02,0.305351369446624,Farm,Y,3,0.602059991327962,0.602059991327962,LT,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
706,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.3,2.69,2.342,0.427,1.076,1.12,0.326335860928751,Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,teeth marks across back 5mm apart,
707,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.3,2.69,2.342,0.427,1.076,1.12,0.326335860928751,Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,adult male guarding Virgin,,
708,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.7,2.69,2.491,0.401,0.894,1.12,0.326335860928751,Farm,Y,3,0.602059991327962,0.602059991327962,LT,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
709,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.5,2.66,2.444,0.409,0.969,1.13,0.328379603438738,Farm,Y,3,0.602059991327962,0.602059991327962,LT,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,bleeding at base of fins,,
710,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.2,2.61,2.375,0.421,1.095,1.15,0.332438459915605,Farm,Y,3,0.602059991327962,0.602059991327962,LT,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,all transparent,teeth rake marks on tail stock,
711,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.7,2.59,2.201,0.454,1.399,1.16,0.334453751150931,Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,all transparent,1 black dent,
712,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.4,2.48,2.581,0.388,0.946,1.21,0.344392273685111,Farm,Y,3,0.602059991327962,0.602059991327962,LT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
713,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.7,2.47,2.713,0.369,0.821,1.21,0.344392273685111,Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,clean and bright,
714,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.7,2.39,2.385,0.419,1.291,1.25,0.352182518111362,Farm,Y,3,0.602059991327962,0.602059991327962,LT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,"bleeding base of anal fins, black dents and pinpricks",
715,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,5.6,2.35,2.383,0.420,1.338,1.28,0.357934847000454,Farm,Y,3,0.602059991327962,0.602059991327962,LT,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
716,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.3,2.34,2.692,0.371,0.936,1.28,0.357934847000454,Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,
717,28,6,14/06/2001,pink,"Tribune, mainland across from Smith Rck",3,between farms,,6.5,2.20,2.955,0.338,0.801,1.36,0.372912002970107,Farm,Y,3,0.602059991327962,0.602059991327962,LT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
718,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,5.7,2.16,2.639,0.379,1.166,1.39,0.378397900948138,Farm,Y,3,0.602059991327962,0.602059991327962,LT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
719,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,5.7,2.12,2.689,0.372,1.145,1.42,0.383815365980431,Farm,Y,3,0.602059991327962,0.602059991327962,LT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
720,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,5.5,2.09,2.632,0.380,1.256,1.44,0.387389826338729,Farm,Y,3,0.602059991327962,0.602059991327962,LT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 on anal fin,
721,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,5.6,2.08,2.692,0.371,1.184,1.44,0.387389826338729,Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,all transparent,,
722,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,5.7,2.02,2.822,0.354,1.091,1.49,0.396199347095736,Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,all transparent,open wounds,
723,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,5.1,1.88,2.713,0.369,1.417,1.59,0.413299764081252,Farm,Y,3,0.602059991327962,0.602059991327962,LT,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,one dark,open flesh,
724,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,6.1,3.02,2.020,0.495,1.331,0.99,0.298853076409707,No.Farm,Y,3,0.602059991327962,0.602059991327962,LT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,bright clean,
725,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,6.5,2.92,2.226,0.449,1.063,1.03,0.307496037913213,No.Farm,Y,3,0.602059991327962,0.602059991327962,LT,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,one dark adult,bright clean,
726,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,5.7,2.56,2.227,0.449,1.382,1.17,0.336459733848529,No.Farm,Y,3,0.602059991327962,0.602059991327962,LT,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,all transparent,raw slash,
727,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,8.8,6.00,1.467,0.682,0.880,0.67,0.222716471147583,Farm,Y,4,0.698970004336019,0.698970004336019,LT,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,stage two female and mature male mate guarding,silver bright,
728,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,8.2,5.09,1.611,0.621,0.923,0.79,0.252853030979893,Farm,Y,4,0.698970004336019,0.698970004336019,LT,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"chalimus on edge of eyeball, females on flanks",,
729,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,8.0,4.50,1.778,0.563,0.879,0.89,0.276461804173244,Farm,Y,4,0.698970004336019,0.698970004336019,LT,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,,,
730,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,7.8,4.26,1.831,0.546,0.898,0.94,0.287801729930226,Farm,Y,4,0.698970004336019,0.698970004336019,LT,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,Caligus teres,silver bright,
731,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,8.0,4.02,1.990,0.503,0.785,1,0.301029995663981,Farm,Y,4,0.698970004336019,0.698970004336019,LT,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,,silver bright,
732,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,7.0,3.77,1.857,0.539,1.099,1.06,0.313867220369153,Farm,Y,4,0.698970004336019,0.698970004336019,LT,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,,silver bright,
733,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,7.4,3.46,2.139,0.468,0.854,1.16,0.334453751150931,Farm,Y,4,0.698970004336019,0.698970004336019,LT,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
734,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,6.1,3.38,1.805,0.554,1.489,1.18,0.338456493604605,Farm,Y,4,0.698970004336019,0.698970004336019,LT,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,all transparent,rupture behind pec,
735,28,6,13/06/2001,pink,Twin Lagoon,3,between farms,,6.8,3.27,2.080,0.481,1.040,1.22,0.346352974450639,Farm,Y,4,0.698970004336019,0.698970004336019,LT,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,adult male and virgin mate guarding,,
736,28,6,19/07/2001,pink,Twin Lagoon,3,between farms,,6.9,3.13,2.204,0.454,0.953,1.28,0.357934847000454,Farm,Y,4,0.698970004336019,0.698970004336019,LT,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,,clean and bright,
737,28,6,19/07/2001,pink,Twin Lagoon,3,between farms,,6.6,3.10,2.129,0.470,1.078,1.29,0.359835482339888,Farm,Y,4,0.698970004336019,0.698970004336019,LT,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
