farm,year,month,inventory,lep_av,lep_tot,cal_av,cal_tot
Sir Edmund Bay,2002,12,852408,0.655,558327.24,0,0
Cliff Bay,2000,1,604000,NA,NA,NA,NA
Cliff Bay,2000,2,604000,NA,NA,NA,NA
Cliff Bay,2000,3,604000,NA,NA,NA,NA
Cliff Bay,2000,4,604000,0.7466666666666667,450986.6666666667,1.4966666666666668,903986.6666666667
Cliff Bay,2000,5,604000,1.0333333333333334,624133.3333333334,2.7833333333333337,1681133.3333333335
Cliff Bay,2000,6,604000,1.7416666666666667,1051966.6666666667,1.522916666666667,919841.6666666669
Cliff Bay,2000,7,604000,2.45,1479800,0.2625,158550
Cliff Bay,2000,8,599000,4.525,2710475,0.05,29950
Cliff Bay,2000,9,NA,NA,NA,NA,NA
Cliff Bay,2000,10,219336,NA,NA,NA,NA
Cliff Bay,2000,11,546482,NA,NA,NA,NA
Cliff Bay,2000,12,1074725,NA,NA,NA,NA
Cliff Bay,2001,1,1065999,6.13,6534573.87,NA,NA
Cliff Bay,2001,2,1065999,2.53,2696977.4699999997,NA,NA
Cliff Bay,2001,3,1065999,6.11,6513253.890000001,NA,NA
Cliff Bay,2001,4,1065999,2.07,2206617.9299999997,NA,NA
Cliff Bay,2001,5,1065999,1.0599999999999998,1129958.9399999997,NA,NA
Cliff Bay,2001,6,1065999,0.05,53299.950000000004,NA,NA
Cliff Bay,2001,7,NA,NA,NA,NA,NA
Cliff Bay,2001,8,NA,NA,NA,NA,NA
Cliff Bay,2001,9,NA,NA,NA,NA,NA
Cliff Bay,2001,10,135600,NA,NA,NA,NA
Cliff Bay,2001,11,1066953,NA,NA,NA,NA
Cliff Bay,2001,12,1522718,NA,NA,NA,NA
Cliff Bay,2002,1,1608232,NA,NA,NA,NA
Cliff Bay,2002,2,1600000,NA,NA,NA,NA
Cliff Bay,2002,3,NA,NA,NA,NA,NA
Cliff Bay,2002,4,NA,NA,NA,NA,NA
Cliff Bay,2002,5,NA,NA,NA,NA,NA
Cliff Bay,2002,6,NA,NA,NA,NA,NA
Cliff Bay,2002,7,NA,NA,NA,NA,NA
Cliff Bay,2002,8,NA,NA,NA,NA,NA
Cliff Bay,2002,9,NA,NA,NA,NA,NA
Cliff Bay,2002,10,NA,NA,NA,NA,NA
Cliff Bay,2002,11,NA,NA,NA,NA,NA
Cliff Bay,2002,12,NA,NA,NA,NA,NA
Glacier Falls,2000,1,215463,NA,NA,NA,NA
Glacier Falls,2000,2,215235,NA,NA,NA,NA
Glacier Falls,2000,3,215024,NA,NA,NA,NA
Glacier Falls,2000,4,214329,NA,NA,NA,NA
Glacier Falls,2000,5,214169,NA,NA,NA,NA
Glacier Falls,2000,6,214538,NA,NA,NA,NA
Glacier Falls,2000,7,210536,NA,NA,NA,NA
Glacier Falls,2000,8,172979,NA,NA,NA,NA
Glacier Falls,2000,9,164468,NA,NA,NA,NA
Glacier Falls,2000,10,NA,NA,NA,NA,NA
Glacier Falls,2000,11,NA,NA,NA,NA,NA
Glacier Falls,2000,12,NA,NA,NA,NA,NA
Glacier Falls,2001,1,NA,NA,NA,NA,NA
Glacier Falls,2001,2,514395,NA,NA,NA,NA
Glacier Falls,2001,3,513927,NA,NA,NA,NA
Glacier Falls,2001,4,513392,NA,NA,0,0
Glacier Falls,2001,5,513056,21.8,11184620.8,0,0
Glacier Falls,2001,6,511965,22.775,11660002.875,0,0
Glacier Falls,2001,7,498493,23.75,11839208.75,0,0
Glacier Falls,2001,8,484500,1.2,581400,0,0
Glacier Falls,2001,9,481461,0.1,48146.100000000006,0,0
Glacier Falls,2001,10,408270,NA,NA,NA,NA
Glacier Falls,2001,11,398326,NA,NA,NA,NA
Glacier Falls,2001,12,331690,NA,NA,NA,NA
Glacier Falls,2002,1,233770,NA,NA,NA,NA
Glacier Falls,2002,2,184996,NA,NA,NA,NA
Glacier Falls,2002,3,111718,NA,NA,NA,NA
Glacier Falls,2002,4,NA,NA,NA,NA,NA
Glacier Falls,2002,5,NA,NA,NA,NA,NA
Glacier Falls,2002,6,NA,NA,NA,NA,NA
Glacier Falls,2002,7,NA,NA,NA,NA,NA
Glacier Falls,2002,8,NA,NA,NA,NA,NA
Glacier Falls,2002,9,NA,NA,NA,NA,NA
Glacier Falls,2002,10,NA,NA,NA,NA,NA
Glacier Falls,2002,11,NA,NA,NA,NA,NA
Glacier Falls,2002,12,NA,NA,NA,NA,NA
Wicklow Point,2000,1,379677,NA,NA,NA,NA
Wicklow Point,2000,2,379512,NA,NA,NA,NA
Wicklow Point,2000,3,384961,NA,NA,NA,NA
Wicklow Point,2000,4,384539,NA,NA,NA,NA
Wicklow Point,2000,5,378951,NA,NA,NA,NA
Wicklow Point,2000,6,365514,NA,NA,NA,NA
Wicklow Point,2000,7,365345,NA,NA,NA,NA
Wicklow Point,2000,8,365222,NA,NA,NA,NA
Wicklow Point,2000,9,309893,NA,NA,NA,NA
Wicklow Point,2000,10,316094,NA,NA,NA,NA
Wicklow Point,2000,11,315975,NA,NA,NA,NA
Wicklow Point,2000,12,262584,NA,NA,NA,NA
Wicklow Point,2001,1,227834,NA,NA,NA,NA
Wicklow Point,2001,2,189965,NA,NA,NA,NA
Wicklow Point,2001,3,97500,NA,NA,NA,NA
Wicklow Point,2001,4,97367,NA,NA,NA,NA
Wicklow Point,2001,5,NA,NA,NA,NA,NA
Wicklow Point,2001,6,NA,NA,NA,NA,NA
Wicklow Point,2001,7,NA,NA,NA,NA,NA
Wicklow Point,2001,8,NA,NA,NA,NA,NA
Wicklow Point,2001,9,332452,NA,NA,NA,NA
Wicklow Point,2001,10,587730,10.4,6112392,0,0
Wicklow Point,2001,11,586709,10.7,6277786.3,1.3,762721.7000000001
Wicklow Point,2001,12,585965,10.899999999999999,6387018.499999999,0.65,380877.25
Wicklow Point,2002,1,585655,11.1,6500770.5,0,0
Wicklow Point,2002,2,585379,7.23,4232290.17,0,0
Wicklow Point,2002,3,584931,6.315,3693839.265,0,0
Wicklow Point,2002,4,584605,5.4,3156867,0,0
Wicklow Point,2002,5,584156,17.4,10164314.399999999,0,0
Wicklow Point,2002,6,583421,10.575,6169677.074999999,0,0
Wicklow Point,2002,7,583031,3.75,2186366.25,0,0
Wicklow Point,2002,8,582685,NA,NA,NA,NA
Wicklow Point,2002,9,480000,NA,NA,NA,NA
Wicklow Point,2002,10,372106,NA,NA,NA,NA
Wicklow Point,2002,11,371609,14.8,5499813.2,0.55,204384.95
Wicklow Point,2002,12,359542,14.575,5240324.649999999,0.47500000000000003,170782.45
Upper Retreat,2000,1,249897,NA,NA,NA,NA
Upper Retreat,2000,2,190664,NA,NA,NA,NA
Upper Retreat,2000,3,128654,NA,NA,NA,NA
Upper Retreat,2000,4,65501,NA,NA,NA,NA
Upper Retreat,2000,5,52936,NA,NA,NA,NA
Upper Retreat,2000,6,8500,NA,NA,NA,NA
Upper Retreat,2000,7,NA,NA,NA,NA,NA
Upper Retreat,2000,8,NA,NA,NA,NA,NA
Upper Retreat,2000,9,NA,NA,NA,NA,NA
Upper Retreat,2000,10,312595,NA,NA,NA,NA
Upper Retreat,2000,11,312203,NA,NA,NA,NA
Upper Retreat,2000,12,311044,NA,NA,NA,NA
Upper Retreat,2001,1,310599,NA,NA,NA,NA
Upper Retreat,2001,2,310006,NA,NA,NA,NA
Upper Retreat,2001,3,309608,NA,NA,NA,NA
Upper Retreat,2001,4,309057,NA,NA,NA,NA
Upper Retreat,2001,5,308500,NA,NA,NA,NA
Upper Retreat,2001,6,308000,NA,NA,NA,NA
Upper Retreat,2001,7,307724,21.4,6585293.6,0,0
Upper Retreat,2001,8,288834,13,3754842,0,0
Upper Retreat,2001,9,188389,NA,NA,0,0
Upper Retreat,2001,10,168129,NA,NA,0,0
Upper Retreat,2001,11,167858,NA,NA,0,0
Upper Retreat,2001,12,167666,NA,NA,0,0
Upper Retreat,2002,1,106982,NA,NA,0,0
Upper Retreat,2002,2,NA,NA,NA,NA,NA
Upper Retreat,2002,3,NA,NA,NA,NA,NA
Upper Retreat,2002,4,NA,NA,NA,NA,NA
Upper Retreat,2002,5,NA,NA,NA,NA,NA
Upper Retreat,2002,6,NA,NA,NA,NA,NA
Upper Retreat,2002,7,NA,NA,NA,NA,NA
Upper Retreat,2002,8,NA,NA,NA,NA,NA
Upper Retreat,2002,9,NA,NA,NA,NA,NA
Upper Retreat,2002,10,NA,NA,NA,NA,NA
Upper Retreat,2002,11,NA,NA,NA,NA,NA
Upper Retreat,2002,12,NA,NA,NA,NA,NA
Potts Bay,2000,1,NA,NA,NA,NA,NA
Potts Bay,2000,2,NA,NA,NA,NA,NA
Potts Bay,2000,3,NA,NA,NA,NA,NA
Potts Bay,2000,4,NA,NA,NA,NA,NA
Potts Bay,2000,5,NA,NA,NA,NA,NA
Potts Bay,2000,6,NA,NA,NA,NA,NA
Potts Bay,2000,7,NA,NA,NA,NA,NA
Potts Bay,2000,8,NA,NA,NA,NA,NA
Potts Bay,2000,9,NA,NA,NA,NA,NA
Potts Bay,2000,10,NA,NA,NA,NA,NA
Potts Bay,2000,11,NA,NA,NA,NA,NA
Potts Bay,2000,12,NA,NA,NA,NA,NA
Potts Bay,2001,1,NA,NA,NA,NA,NA
