year,unid_cope,lep_cope,cal_cope,chala,chalb,chal_unid,lep_pamale,lep_male,lep_nongravid,lep_gravid,lep_pafemale,cal_mot,cal_gravid,unid_adult,unid_pa,lep_mot,all_lice,all_sp_mot,all_mot,all_sp_cope,all_cope,all_chal,prop_lep_mot,prop_lep_cope,obs_id
2001,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,NA,NA,115
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,0,0,0,1,NA,116
2001,0,0,0,16,0,0,0,0,0,0,0,0,0,4,1,1,21,1,5,0,0,16,1,NA,117
2001,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,NA,NA,118
2001,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,NA,NA,119
2001,0,0,0,4,3,0,0,0,0,0,0,0,0,3,1,1,11,1,4,0,0,7,1,NA,120
2001,0,0,0,14,5,0,0,0,0,0,0,0,0,0,2,2,21,2,2,0,0,19,1,NA,121
2001,0,0,0,6,3,0,0,0,0,0,0,0,0,3,6,6,18,6,9,0,0,9,1,NA,122
2001,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,1,7,1,5,0,0,2,1,NA,123
2001,0,0,0,11,6,0,0,0,0,0,0,0,0,1,3,3,21,3,4,0,0,17,1,NA,124
2001,0,0,0,4,3,0,0,0,0,0,0,0,0,1,18,18,26,18,19,0,0,7,1,NA,125
2001,0,0,0,7,7,0,0,0,0,0,0,0,0,2,1,1,17,1,3,0,0,14,1,NA,126
2001,0,0,0,2,2,0,0,0,0,0,0,0,0,3,4,4,11,4,7,0,0,4,1,NA,127
2001,0,0,0,2,8,0,0,0,0,0,0,0,0,1,17,17,28,17,18,0,0,10,1,NA,128
2001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,NA,NA,129
2001,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,NA,NA,130
2001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,2,1,NA,131
2001,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,3,1,NA,132
2001,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,6,1,2,0,0,4,1,NA,133
2001,0,0,0,2,19,0,0,0,0,0,0,0,0,2,3,3,26,3,5,0,0,21,1,NA,134
2001,0,0,0,7,5,0,0,0,0,0,0,0,0,1,16,16,29,16,17,0,0,12,1,NA,135
2001,0,0,0,8,6,0,0,0,0,0,0,0,0,2,6,6,22,6,8,0,0,14,1,NA,136
2001,0,0,0,9,2,0,0,0,0,0,0,0,0,1,7,7,19,7,8,0,0,11,1,NA,137
2001,0,0,0,2,7,0,0,0,0,0,0,0,0,3,5,5,17,5,8,0,0,9,1,NA,138
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,6,7,0,0,0,1,NA,139
2001,0,0,0,22,1,0,0,0,0,0,0,0,0,4,2,2,29,2,6,0,0,23,1,NA,140
2001,0,0,0,3,12,0,0,0,0,0,0,0,0,3,12,12,30,12,15,0,0,15,1,NA,141
2001,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,6,1,NA,142
2001,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,NA,NA,143
2001,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,7,0,3,0,0,4,NA,NA,144
2001,0,0,0,25,17,0,0,0,0,0,0,0,0,1,1,1,44,1,2,0,0,42,1,NA,145
2001,0,0,0,12,3,0,0,0,0,0,0,0,0,0,2,2,17,2,2,0,0,15,1,NA,146
2001,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,3,16,3,3,0,0,13,1,NA,147
2001,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,3,12,3,3,0,0,9,1,NA,148
2001,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,NA,NA,149
2001,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,3,7,3,3,0,0,4,1,NA,150
2001,0,0,0,13,2,0,0,0,0,0,0,0,0,1,1,1,17,1,2,0,0,15,1,NA,151
2001,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,1,8,1,1,0,0,7,1,NA,152
2001,0,0,0,22,2,0,0,0,0,0,0,0,0,2,5,5,31,5,7,0,0,24,1,NA,153
2001,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,0,4,1,NA,154
2001,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,NA,NA,155
2001,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,NA,NA,156
2001,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,NA,NA,157
