all_lice,all_lep,all_cal,month,year,day,date,farm_name,week
3,3,0,7,2001,29,2001-07-29,Wicklow,30
1,0,0,7,2001,29,2001-07-29,Wicklow,30
5,3,0,7,2001,29,2001-07-29,Wicklow,30
4,3,0,7,2001,29,2001-07-29,Wicklow,30
2,2,0,7,2001,29,2001-07-29,Wicklow,30
6,5,0,7,2001,29,2001-07-29,Wicklow,30
2,2,0,7,2001,29,2001-07-29,Wicklow,30
1,1,0,7,2001,29,2001-07-29,Wicklow,30
1,1,0,7,2001,29,2001-07-29,Wicklow,30
1,1,0,7,2001,29,2001-07-29,Wicklow,30
1,1,0,7,2001,29,2001-07-29,Wicklow,30
4,4,0,7,2001,29,2001-07-29,Wicklow,30
2,1,0,7,2001,29,2001-07-29,Wicklow,30
2,1,0,7,2001,29,2001-07-29,Wicklow,30
0,0,0,7,2001,29,2001-07-29,Wicklow,30
2,2,0,7,2001,29,2001-07-29,Wicklow,30
6,2,0,7,2001,29,2001-07-29,Wicklow,30
12,10,0,7,2001,29,2001-07-29,Wicklow,30
4,2,0,7,2001,29,2001-07-29,Wicklow,30
1,1,0,7,2001,29,2001-07-29,Wicklow,30
3,2,0,7,2001,29,2001-07-29,Wicklow,30
6,3,0,7,2001,29,2001-07-29,Wicklow,30
4,3,0,7,2001,29,2001-07-29,Wicklow,30
1,1,0,4,2002,18,2002-04-18,Burdwood,16
4,4,0,4,2002,18,2002-04-18,Burdwood,16
6,4,2,4,2002,18,2002-04-18,Burdwood,16
8,6,2,4,2002,18,2002-04-18,Burdwood,16
3,3,0,4,2002,18,2002-04-18,Burdwood,16
3,2,1,4,2002,18,2002-04-18,Burdwood,16
0,0,0,4,2002,18,2002-04-18,Burdwood,16
4,3,1,4,2002,18,2002-04-18,Burdwood,16
3,3,0,4,2002,18,2002-04-18,Burdwood,16
0,0,0,4,2002,18,2002-04-18,Burdwood,16
6,5,1,4,2002,18,2002-04-18,Burdwood,16
5,5,0,4,2002,18,2002-04-18,Glacier,16
1,0,1,4,2002,18,2002-04-18,Wicklow,16
1,1,0,4,2002,18,2002-04-18,Wicklow,16
0,0,0,4,2002,18,2002-04-18,Wicklow,16
7,6,1,4,2002,18,2002-04-18,Wicklow,16
9,7,2,4,2002,18,2002-04-18,Wicklow,16
11,8,3,4,2002,19,2002-04-19,Burdwood,16
1,1,0,4,2002,19,2002-04-19,Burdwood,16
1,0,1,4,2002,19,2002-04-19,Burdwood,16
2,2,0,4,2002,19,2002-04-19,Burdwood,16
10,5,5,4,2002,19,2002-04-19,Burdwood,16
0,0,0,4,2002,19,2002-04-19,Burdwood,16
4,4,0,4,2002,19,2002-04-19,Burdwood,16
2,2,0,4,2002,19,2002-04-19,Burdwood,16
7,5,2,4,2002,19,2002-04-19,Burdwood,16
0,0,0,4,2002,19,2002-04-19,Glacier,16
3,2,1,4,2002,19,2002-04-19,Glacier,16
0,0,0,4,2002,19,2002-04-19,Glacier,16
0,0,0,4,2002,19,2002-04-19,Glacier,16
1,0,1,4,2002,19,2002-04-19,Glacier,16
1,1,0,4,2002,19,2002-04-19,Glacier,16
1,1,0,4,2002,19,2002-04-19,Glacier,16
1,1,0,4,2002,19,2002-04-19,Glacier,16
2,1,1,4,2002,19,2002-04-19,Glacier,16
0,0,0,4,2002,19,2002-04-19,Glacier,16
2,1,1,4,2002,19,2002-04-19,Glacier,16
3,2,1,4,2002,19,2002-04-19,Glacier,16
5,4,1,4,2002,19,2002-04-19,Glacier,16
3,3,0,4,2002,19,2002-04-19,Glacier,16
4,4,0,4,2002,19,2002-04-19,Glacier,16
3,3,0,4,2002,19,2002-04-19,Glacier,16
8,6,2,4,2002,19,2002-04-19,Glacier,16
2,2,0,4,2002,19,2002-04-19,Glacier,16
5,5,0,4,2002,19,2002-04-19,Glacier,16
1,1,0,4,2002,19,2002-04-19,Glacier,16
1,0,1,4,2002,19,2002-04-19,Wicklow,16
2,2,0,4,2002,19,2002-04-19,Wicklow,16
9,7,2,4,2002,19,2002-04-19,Wicklow,16
4,4,0,4,2002,19,2002-04-19,Wicklow,16
4,4,0,4,2002,19,2002-04-19,Wicklow,16
0,0,0,4,2002,19,2002-04-19,Wicklow,16
0,0,0,4,2002,19,2002-04-19,Wicklow,16
7,6,1,4,2002,19,2002-04-19,Wicklow,16
3,3,0,4,2002,19,2002-04-19,Wicklow,16
2,1,1,4,2002,19,2002-04-19,Wicklow,16
5,4,1,4,2002,19,2002-04-19,Wicklow,16
1,1,0,4,2002,19,2002-04-19,Wicklow,16
0,0,0,4,2002,19,2002-04-19,Wicklow,16
0,0,0,4,2002,25,2002-04-25,Glacier,17
2,2,0,4,2002,25,2002-04-25,Glacier,17
2,1,1,4,2002,25,2002-04-25,Glacier,17
2,2,0,4,2002,25,2002-04-25,Glacier,17
1,0,1,4,2002,25,2002-04-25,Glacier,17
2,2,0,4,2002,25,2002-04-25,Glacier,17
3,2,1,4,2002,25,2002-04-25,Glacier,17
3,3,0,4,2002,25,2002-04-25,Glacier,17
4,4,0,4,2002,25,2002-04-25,Glacier,17
2,2,0,4,2002,25,2002-04-25,Glacier,17
3,2,1,4,2002,25,2002-04-25,Glacier,17
5,4,1,4,2002,25,2002-04-25,Glacier,17
0,0,0,4,2002,25,2002-04-25,Glacier,17
9,6,3,4,2002,25,2002-04-25,Glacier,17
3,2,1,4,2002,25,2002-04-25,Glacier,17
4,4,0,4,2002,25,2002-04-25,Glacier,17
1,1,0,4,2002,25,2002-04-25,Glacier,17
3,3,0,4,2002,25,2002-04-25,Glacier,17
4,4,0,4,2002,25,2002-04-25,Glacier,17
4,4,0,4,2002,25,2002-04-25,Glacier,17
2,2,0,4,2002,26,2002-04-26,Burdwood,17
3,2,1,4,2002,26,2002-04-26,Burdwood,17
8,5,3,4,2002,26,2002-04-26,Burdwood,17
1,1,0,4,2002,26,2002-04-26,Burdwood,17
6,5,1,4,2002,26,2002-04-26,Burdwood,17
3,3,0,4,2002,26,2002-04-26,Burdwood,17
1,1,0,4,2002,26,2002-04-26,Burdwood,17
4,4,0,4,2002,26,2002-04-26,Burdwood,17
6,5,1,4,2002,26,2002-04-26,Burdwood,17
2,2,0,4,2002,26,2002-04-26,Burdwood,17
1,1,0,4,2002,26,2002-04-26,Burdwood,17
3,3,0,4,2002,26,2002-04-26,Burdwood,17
2,2,0,4,2002,26,2002-04-26,Burdwood,17
4,3,1,4,2002,26,2002-04-26,Burdwood,17
3,2,1,4,2002,26,2002-04-26,Burdwood,17
