year,farm,wild,wild_scenario,farm_group
2015,5.810221053613242,0.12324357690400774,scen3,log_all_farm_leps
2016,5.602185106008008,-0.4062282249033804,scen3,log_all_farm_leps
2017,4.949632719474907,-0.3368353922109929,scen3,log_all_farm_leps
2018,5.417761926204882,-0.8521852255738436,scen3,log_all_farm_leps
2019,5.411130207347676,-0.14986743010027095,scen3,log_all_farm_leps
2020,5.425174119942089,-0.5418960828166292,scen3,log_all_farm_leps
2021,5.615980707639797,-0.13720345807299195,scen3,log_all_farm_leps
2001,6.037731225492208,1.1243835637499586,scen4,log_all_farm_leps
2002,6.4075080901878305,0.7905440738974374,scen4,log_all_farm_leps
2003,5.3200659833867,-0.051761451031056976,scen4,log_all_farm_leps
2004,6.0035541175948275,0.8297568900037199,scen4,log_all_farm_leps
2005,5.711328466895049,0.5024884794877356,scen4,log_all_farm_leps
