effect,group,term,estimate,std.error,statistic
fixed,NA,S:population_namenootum_river_odd,-8.153832875682856e-4,2.181798063657856e-4,-3.7372078614886513
fixed,NA,S:population_nameworan_creek_odd,-1.574798574250613e-4,5.439032942205674e-5,-2.8953650234962356
fixed,NA,S:population_namedeep_bay_creek_odd,-0.007115563795418124,0.0021998800600385817,-3.2345235200201463
fixed,NA,S:population_nameevans_inlet_#3_creek_odd,-5.564674222453307e-4,1.6827730334491794e-4,-3.30684775180132
fixed,NA,S:population_namefrenchman_creek_odd,-6.787905900416739e-5,2.078269666104204e-5,-3.266133366196374
fixed,NA,S:population_namegenesee_creek_even,-0.0011044963386948842,2.591891733327361e-4,-4.261352140959138
fixed,NA,S:population_namechuckwalla_river_even,-5.824040006643536e-6,2.4053058747639026e-6,-2.421330304701977
fixed,NA,S:population_namenicknaqueet_river_odd,-3.046790485191386e-4,1.3203997415542546e-4,-2.3074758266803213
fixed,NA,S:population_nameclyak_river_even,-1.8655070067847554e-5,4.909541603307795e-6,-3.7997580171800016
fixed,NA,S:population_namemilton_river_even,-6.727626802766905e-5,2.7335565898003033e-5,-2.461125856281755
fixed,NA,S:population_namekilbella_river_odd,-6.025834486715721e-6,2.194568615485632e-6,-2.745794523896568
fixed,NA,S:population_nameclyak_river_odd,-6.646287008388751e-4,2.53570714754215e-4,-2.621078311362165
fixed,NA,S:population_namemilton_river_odd,-3.23690656354254e-4,1.082307671648566e-4,-2.990745282819717
fixed,NA,S:population_namelockhart_gordon_creek_even,-2.482841770386562e-4,6.152132944361614e-5,-4.035741413328964
fixed,NA,S:population_namemacnair_creek_even,-1.641949476656942e-4,8.308317846781598e-5,-1.9762718602454354
fixed,NA,S:population_nameamback_creek_odd,-2.0888328520011647e-4,1.442728560337008e-4,-1.4478349631570562
fixed,NA,S:population_namesandell_river_even,-1.9297042225665184e-4,2.078278946021088e-4,-0.92851069210944015
fixed,NA,S:population_namedallery_creek_odd,-5.823390406271094e-4,1.5415331603251447e-4,-3.777661458182844
fixed,NA,S:population_nameamback_creek_even,-3.1094417595245986e-4,1.1455247149589808e-4,-2.714425729030161
fixed,NA,S:population_namewannock_river_even,-3.9406596120164343e-4,2.8299133725986507e-4,-1.392501851884536
fixed,NA,S:population_nameashlulm_creek_even,-9.698878339626042e-4,3.7039743664291503e-4,-2.618505794082029
fixed,NA,S:population_namelockhart_gordon_creek_odd,-2.2706997236953894e-4,1.3319461549629415e-4,-1.704798437410232
fixed,NA,S:population_namemacnair_creek_odd,-1.8545885405770935e-4,1.1515652667122106e-4,-1.6104936421641627
fixed,NA,S:population_namebeaver_creek_even,-0.002492342194028959,0.0022682153564742113,-1.0988119743193776
fixed,NA,S:population_namedallery_creek_even,-1.7474526932391264e-4,8.087221079063711e-5,-2.160757911964286
fixed,NA,S:population_namegenesee_creek_odd,-5.953368962740334e-4,1.5002300693572218e-4,-3.9683039850621538
fixed,NA,S:population_namegreen_river_odd,-0.0012479082886035439,6.834827990963994e-4,-1.8258078919518457
fixed,NA,S:population_namewalkum_creek_odd,-0.005642140941098692,0.0015296701041314703,-3.6884691188380367
fixed,NA,S:population_nameashlulm_creek_odd,-9.490459709188515e-4,2.8639362158658447e-4,-3.3137818002414186
fixed,NA,S:population_nameoatsoalis_creek_even,-0.0010141229299178386,3.3418397193580776e-4,-3.03462468305523
fixed,NA,S:population_namecrab_harbour_creek_even,-0.00423561142766344,0.001351751058586911,-3.1334256413242607
fixed,NA,S:population_namenieumiamus_creek_odd,-5.853690061002453e-4,2.248468280622315e-4,-2.6034123369453583
fixed,NA,S:population_nameallard_creek_odd,-6.39485507773763e-4,4.945136074491011e-4,-1.2931605887904376
fixed,NA,S:population_namedraney_creek_even,-2.610863493658428e-4,1.4340184516147976e-4,-1.8206624124804158
fixed,NA,S:population_namenieumiamus_creek_even,-3.779025897363804e-4,1.2517563500638997e-4,-3.0189788109889695
fixed,NA,S:population_namedraney_creek_odd,-6.494031512523569e-4,3.7618107149535966e-4,-1.7263046986147137
fixed,NA,S:population_namebeaver_creek_odd,-0.005859348833222763,0.0015492253107154792,-3.7821153531998117
fixed,NA,S:population_nameallard_creek_even,-0.006245083671985471,0.0018275275395486662,-3.417230951019093
fixed,NA,S:population_namecrab_harbour_creek_odd,-0.009791584060228592,0.003917438928628186,-2.4994860771594523
fixed,NA,S:population_namegreen_river_even,-0.0018174704283657208,0.0011552806384247773,-1.5731852226345955
