all_lice,all_lep,all_cal,month,year,day,date,farm
28,0,0,6,2001,28,2001-06-28,Glacier
41,0,0,6,2001,28,2001-06-28,Glacier
13,0,0,6,2001,28,2001-06-28,Glacier
0,0,0,6,2001,28,2001-06-28,Glacier
14,0,0,6,2001,28,2001-06-28,Glacier
19,0,0,6,2001,28,2001-06-28,Glacier
4,0,0,6,2001,28,2001-06-28,Glacier
7,0,0,6,2001,28,2001-06-28,Glacier
32,0,0,6,2001,28,2001-06-28,Glacier
10,0,0,6,2001,28,2001-06-28,Glacier
7,0,0,6,2001,28,2001-06-28,Glacier
8,0,0,6,2001,28,2001-06-28,Glacier
7,0,0,6,2001,28,2001-06-28,Glacier
14,0,0,6,2001,28,2001-06-28,Glacier
37,0,0,6,2001,28,2001-06-28,Glacier
4,0,0,6,2001,28,2001-06-28,Glacier
3,0,0,6,2001,28,2001-06-28,Glacier
5,0,0,6,2001,28,2001-06-28,Glacier
16,0,0,6,2001,28,2001-06-28,Glacier
67,0,0,6,2001,28,2001-06-28,Glacier
13,0,0,6,2001,28,2001-06-28,Glacier
50,0,0,6,2001,28,2001-06-28,Glacier
11,0,0,6,2001,28,2001-06-28,Glacier
11,0,0,6,2001,28,2001-06-28,Glacier
7,0,0,6,2001,28,2001-06-28,Glacier
6,0,0,6,2001,28,2001-06-28,Glacier
17,0,0,6,2001,28,2001-06-28,Glacier
6,0,0,6,2001,28,2001-06-28,Glacier
1,0,0,6,2001,29,2001-06-29,Burdwood
6,0,0,6,2001,29,2001-06-29,Burdwood
12,0,0,6,2001,29,2001-06-29,Burdwood
25,0,0,6,2001,29,2001-06-29,Burdwood
8,0,0,6,2001,29,2001-06-29,Burdwood
3,0,0,6,2001,29,2001-06-29,Burdwood
9,0,0,6,2001,29,2001-06-29,Burdwood
3,0,0,6,2001,29,2001-06-29,Burdwood
3,0,0,6,2001,29,2001-06-29,Burdwood
8,0,0,6,2001,29,2001-06-29,Burdwood
26,0,0,6,2001,29,2001-06-29,Burdwood
8,0,0,6,2001,29,2001-06-29,Burdwood
12,0,0,6,2001,30,2001-06-30,Burdwood
37,0,0,6,2001,30,2001-06-30,Burdwood
11,0,0,6,2001,30,2001-06-30,Burdwood
4,0,0,7,2001,13,2001-07-13,Burdwood
9,0,0,7,2001,13,2001-07-13,Burdwood
4,0,0,7,2001,15,2001-07-15,Glacier
20,0,0,7,2001,16,2001-07-16,Burdwood
3,0,0,7,2001,29,2001-07-29,Wicklow
1,0,0,7,2001,29,2001-07-29,Wicklow
5,0,0,7,2001,29,2001-07-29,Wicklow
4,0,0,7,2001,29,2001-07-29,Wicklow
2,0,0,7,2001,29,2001-07-29,Wicklow
6,0,0,7,2001,29,2001-07-29,Wicklow
2,0,0,7,2001,29,2001-07-29,Wicklow
1,0,0,7,2001,29,2001-07-29,Wicklow
1,0,0,7,2001,29,2001-07-29,Wicklow
1,0,0,7,2001,29,2001-07-29,Wicklow
1,0,0,7,2001,29,2001-07-29,Wicklow
4,0,0,7,2001,29,2001-07-29,Wicklow
2,0,0,7,2001,29,2001-07-29,Wicklow
2,0,0,7,2001,29,2001-07-29,Wicklow
0,0,0,7,2001,29,2001-07-29,Wicklow
2,0,0,7,2001,29,2001-07-29,Wicklow
6,0,0,7,2001,29,2001-07-29,Wicklow
12,0,0,7,2001,29,2001-07-29,Wicklow
4,0,0,7,2001,29,2001-07-29,Wicklow
1,0,0,7,2001,29,2001-07-29,Wicklow
3,0,0,7,2001,29,2001-07-29,Wicklow
6,0,0,7,2001,29,2001-07-29,Wicklow
4,0,0,7,2001,29,2001-07-29,Wicklow
2,0,0,8,2001,15,2001-08-15,Wicklow
21,0,0,8,2001,15,2001-08-15,Wicklow
9,0,0,8,2001,15,2001-08-15,Wicklow
4,0,0,8,2001,15,2001-08-15,Wicklow
6,0,0,8,2001,15,2001-08-15,Wicklow
3,0,0,8,2001,15,2001-08-15,Wicklow
2,0,0,8,2001,15,2001-08-15,Wicklow
2,0,0,8,2001,16,2001-08-16,Wicklow
0,0,0,8,2001,16,2001-08-16,Wicklow
1,0,0,4,2002,18,2002-04-18,Burdwood
4,0,0,4,2002,18,2002-04-18,Burdwood
6,0,0,4,2002,18,2002-04-18,Burdwood
8,0,0,4,2002,18,2002-04-18,Burdwood
3,0,0,4,2002,18,2002-04-18,Burdwood
3,0,0,4,2002,18,2002-04-18,Burdwood
0,0,0,4,2002,18,2002-04-18,Burdwood
4,0,0,4,2002,18,2002-04-18,Burdwood
3,0,0,4,2002,18,2002-04-18,Burdwood
0,0,0,4,2002,18,2002-04-18,Burdwood
6,0,0,4,2002,18,2002-04-18,Burdwood
5,0,0,4,2002,18,2002-04-18,Glacier
1,0,0,4,2002,18,2002-04-18,Wicklow
1,0,0,4,2002,18,2002-04-18,Wicklow
0,0,0,4,2002,18,2002-04-18,Wicklow
7,0,0,4,2002,18,2002-04-18,Wicklow
9,0,0,4,2002,18,2002-04-18,Wicklow
11,1,0,4,2002,19,2002-04-19,Burdwood
1,0,0,4,2002,19,2002-04-19,Burdwood
1,0,0,4,2002,19,2002-04-19,Burdwood
2,0,0,4,2002,19,2002-04-19,Burdwood
10,0,0,4,2002,19,2002-04-19,Burdwood
0,0,0,4,2002,19,2002-04-19,Burdwood
4,0,0,4,2002,19,2002-04-19,Burdwood
2,0,0,4,2002,19,2002-04-19,Burdwood
7,0,0,4,2002,19,2002-04-19,Burdwood
0,0,0,4,2002,19,2002-04-19,Glacier
3,0,0,4,2002,19,2002-04-19,Glacier
0,0,0,4,2002,19,2002-04-19,Glacier
0,0,0,4,2002,19,2002-04-19,Glacier
1,0,0,4,2002,19,2002-04-19,Glacier
1,0,0,4,2002,19,2002-04-19,Glacier
1,0,0,4,2002,19,2002-04-19,Glacier
1,1,0,4,2002,19,2002-04-19,Glacier
2,0,0,4,2002,19,2002-04-19,Glacier
0,0,0,4,2002,19,2002-04-19,Glacier
2,0,0,4,2002,19,2002-04-19,Glacier
3,0,0,4,2002,19,2002-04-19,Glacier
5,0,0,4,2002,19,2002-04-19,Glacier
3,0,0,4,2002,19,2002-04-19,Glacier
4,0,0,4,2002,19,2002-04-19,Glacier
3,0,0,4,2002,19,2002-04-19,Glacier
8,0,0,4,2002,19,2002-04-19,Glacier
2,0,0,4,2002,19,2002-04-19,Glacier
5,0,0,4,2002,19,2002-04-19,Glacier
1,0,0,4,2002,19,2002-04-19,Glacier
1,0,0,4,2002,19,2002-04-19,Wicklow
2,0,0,4,2002,19,2002-04-19,Wicklow
9,0,0,4,2002,19,2002-04-19,Wicklow
4,0,0,4,2002,19,2002-04-19,Wicklow
4,0,0,4,2002,19,2002-04-19,Wicklow
0,0,0,4,2002,19,2002-04-19,Wicklow
0,0,0,4,2002,19,2002-04-19,Wicklow
7,0,0,4,2002,19,2002-04-19,Wicklow
3,0,0,4,2002,19,2002-04-19,Wicklow
2,0,0,4,2002,19,2002-04-19,Wicklow
5,0,0,4,2002,19,2002-04-19,Wicklow
1,0,0,4,2002,19,2002-04-19,Wicklow
0,0,0,4,2002,19,2002-04-19,Wicklow
0,0,0,4,2002,25,2002-04-25,Glacier
2,0,0,4,2002,25,2002-04-25,Glacier
2,0,0,4,2002,25,2002-04-25,Glacier
2,0,0,4,2002,25,2002-04-25,Glacier
1,0,0,4,2002,25,2002-04-25,Glacier
2,0,0,4,2002,25,2002-04-25,Glacier
3,0,0,4,2002,25,2002-04-25,Glacier
3,0,0,4,2002,25,2002-04-25,Glacier
4,0,0,4,2002,25,2002-04-25,Glacier
2,0,0,4,2002,25,2002-04-25,Glacier
3,0,0,4,2002,25,2002-04-25,Glacier
5,0,0,4,2002,25,2002-04-25,Glacier
0,0,0,4,2002,25,2002-04-25,Glacier
9,0,0,4,2002,25,2002-04-25,Glacier
3,0,0,4,2002,25,2002-04-25,Glacier
4,0,0,4,2002,25,2002-04-25,Glacier
1,0,0,4,2002,25,2002-04-25,Glacier
3,0,0,4,2002,25,2002-04-25,Glacier
4,0,0,4,2002,25,2002-04-25,Glacier
4,0,0,4,2002,25,2002-04-25,Glacier
2,0,0,4,2002,26,2002-04-26,Burdwood
3,0,0,4,2002,26,2002-04-26,Burdwood
8,0,0,4,2002,26,2002-04-26,Burdwood
1,0,0,4,2002,26,2002-04-26,Burdwood
6,0,0,4,2002,26,2002-04-26,Burdwood
3,0,0,4,2002,26,2002-04-26,Burdwood
1,0,0,4,2002,26,2002-04-26,Burdwood
4,0,0,4,2002,26,2002-04-26,Burdwood
6,0,0,4,2002,26,2002-04-26,Burdwood
2,0,0,4,2002,26,2002-04-26,Burdwood
1,0,0,4,2002,26,2002-04-26,Burdwood
3,0,0,4,2002,26,2002-04-26,Burdwood
2,0,0,4,2002,26,2002-04-26,Burdwood
4,0,0,4,2002,26,2002-04-26,Burdwood
3,0,0,4,2002,26,2002-04-26,Burdwood
5,0,0,4,2002,26,2002-04-26,Burdwood
2,0,0,4,2002,26,2002-04-26,Burdwood
3,0,0,4,2002,26,2002-04-26,Burdwood
3,0,0,4,2002,26,2002-04-26,Burdwood
4,0,0,4,2002,26,2002-04-26,Burdwood
3,0,0,4,2002,26,2002-04-26,Burdwood
3,0,0,4,2002,26,2002-04-26,Burdwood
10,0,0,4,2002,26,2002-04-26,Wicklow
