all_lice,all_lep,all_cal,month,year,day,date,farm,week,farm_week
50,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
11,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
11,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
7,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
6,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
17,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
6,0,0,6,2001,28,2001-06-28,Glacier,26,Glacier26
1,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
6,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
12,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
25,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
8,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
3,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
9,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
3,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
3,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
8,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
26,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
8,0,0,6,2001,29,2001-06-29,Burdwood,26,Burdwood26
12,0,0,6,2001,30,2001-06-30,Burdwood,26,Burdwood26
37,0,0,6,2001,30,2001-06-30,Burdwood,26,Burdwood26
11,0,0,6,2001,30,2001-06-30,Burdwood,26,Burdwood26
4,0,0,7,2001,13,2001-07-13,Burdwood,28,Burdwood28
9,0,0,7,2001,13,2001-07-13,Burdwood,28,Burdwood28
4,0,0,7,2001,15,2001-07-15,Glacier,28,Glacier28
20,0,0,7,2001,16,2001-07-16,Burdwood,29,Burdwood29
3,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
1,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
5,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
4,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
2,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
6,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
2,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
1,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
1,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
1,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
1,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
4,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
2,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
2,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
0,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
2,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
6,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
12,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
4,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
1,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
3,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
6,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
4,0,0,7,2001,29,2001-07-29,Wicklow,30,Wicklow30
2,0,0,8,2001,15,2001-08-15,Wicklow,33,Wicklow33
21,0,0,8,2001,15,2001-08-15,Wicklow,33,Wicklow33
9,0,0,8,2001,15,2001-08-15,Wicklow,33,Wicklow33
4,0,0,8,2001,15,2001-08-15,Wicklow,33,Wicklow33
6,0,0,8,2001,15,2001-08-15,Wicklow,33,Wicklow33
3,0,0,8,2001,15,2001-08-15,Wicklow,33,Wicklow33
2,0,0,8,2001,15,2001-08-15,Wicklow,33,Wicklow33
2,0,0,8,2001,16,2001-08-16,Wicklow,33,Wicklow33
0,0,0,8,2001,16,2001-08-16,Wicklow,33,Wicklow33
1,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
4,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
6,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
8,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
3,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
3,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
0,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
4,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
3,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
0,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
6,0,0,4,2002,18,2002-04-18,Burdwood,16,Burdwood16
5,0,0,4,2002,18,2002-04-18,Glacier,16,Glacier16
1,0,0,4,2002,18,2002-04-18,Wicklow,16,Wicklow16
1,0,0,4,2002,18,2002-04-18,Wicklow,16,Wicklow16
0,0,0,4,2002,18,2002-04-18,Wicklow,16,Wicklow16
7,0,0,4,2002,18,2002-04-18,Wicklow,16,Wicklow16
9,0,0,4,2002,18,2002-04-18,Wicklow,16,Wicklow16
11,1,0,4,2002,19,2002-04-19,Burdwood,16,Burdwood16
1,0,0,4,2002,19,2002-04-19,Burdwood,16,Burdwood16
1,0,0,4,2002,19,2002-04-19,Burdwood,16,Burdwood16
2,0,0,4,2002,19,2002-04-19,Burdwood,16,Burdwood16
10,0,0,4,2002,19,2002-04-19,Burdwood,16,Burdwood16
0,0,0,4,2002,19,2002-04-19,Burdwood,16,Burdwood16
4,0,0,4,2002,19,2002-04-19,Burdwood,16,Burdwood16
2,0,0,4,2002,19,2002-04-19,Burdwood,16,Burdwood16
7,0,0,4,2002,19,2002-04-19,Burdwood,16,Burdwood16
0,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
3,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
0,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
0,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
1,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
1,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
1,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
1,1,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
2,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
0,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
2,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
3,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
5,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
3,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
4,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
3,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
8,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
2,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
5,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
1,0,0,4,2002,19,2002-04-19,Glacier,16,Glacier16
1,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
2,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
9,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
4,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
4,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
0,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
0,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
7,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
3,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
2,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
5,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
1,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
0,0,0,4,2002,19,2002-04-19,Wicklow,16,Wicklow16
0,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
2,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
2,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
2,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
1,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
2,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
3,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
3,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
4,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
2,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
3,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
5,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
0,0,0,4,2002,25,2002-04-25,Glacier,17,Glacier17
