effect,group,term,estimate,std.error,statistic
fixed,NA,S:population_namebeaver_creek_even,-0.0024959377830607713,0.0022681307860280514,-1.100438210369542
fixed,NA,S:population_namedallery_creek_even,-1.747589752820692e-4,8.086903686883713e-5,-2.1610122000774385
fixed,NA,S:population_namegenesee_creek_odd,-5.948891932843209e-4,1.5000685282746807e-4,-3.9657467780391262
fixed,NA,S:population_namegreen_river_odd,-0.0012477021335095845,6.834582754870494e-4,-1.8255717697184088
fixed,NA,S:population_namewalkum_creek_odd,-0.005639624488756627,0.0015294697376209226,-3.687307012382616
fixed,NA,S:population_nameashlulm_creek_odd,-9.472502400799846e-4,2.863642546933526e-4,-3.3078508387659222
fixed,NA,S:population_nameoatsoalis_creek_even,-0.0010139898878788732,3.3417167865732556e-4,-3.0343381939277485
fixed,NA,S:population_namecrab_harbour_creek_even,-0.0042355095295455985,0.0013517134050554456,-3.1334375420889335
fixed,NA,S:population_namenieumiamus_creek_odd,-5.850578843306794e-4,2.248385954169134e-4,-2.6021239069111735
fixed,NA,S:population_nameallard_creek_odd,-6.387458675767081e-4,4.944938735930357e-4,-1.2917164431897301
fixed,NA,S:population_namedraney_creek_even,-2.6111410332302153e-4,1.4339644635869407e-4,-1.8209245065241484
fixed,NA,S:population_namenieumiamus_creek_even,-3.7787718453396356e-4,1.2517188191942693e-4,-3.018866367905237
fixed,NA,S:population_namedraney_creek_odd,-6.48889701059629e-4,3.76165689219011e-4,-1.7250103336294258
fixed,NA,S:population_namebeaver_creek_odd,-0.005855961542429095,0.001549160017251007,-3.780088226663977
fixed,NA,S:population_nameallard_creek_even,-0.006244897786516714,0.00182745514812043,-3.417264600414244
fixed,NA,S:population_namecrab_harbour_creek_odd,-0.009789739527493294,0.003917331713998557,-2.499083621769821
fixed,NA,S:population_namegreen_river_even,-0.0018175009655505613,0.0011552498320741252,-1.5732536072196923
fixed,NA,S:population_namefour_lakes_creek_even,-0.002664243231327382,0.0018848358051108652,-1.4135147603324907
fixed,NA,S:population_nameatnarko_spawning_channel_even,-7.604012513566954e-5,3.503253238733096e-5,-2.1705574776880363
fixed,NA,S:population_nameatnarko_spawning_channel_odd,-1.6525307996330803e-4,4.8381016100418724e-5,-3.4156595558123843
fixed,NA,S:population_namenekite_spawning_channel_odd,-9.013617603208093e-4,4.096961787237183e-4,-2.2000736329265336
fixed,NA,S:population_namejenny_bay_west_creek_odd,-2.4126968725799765e-4,1.0971562608064848e-4,-2.1990458048395762
fixed,NA,S:population_namejenny_bay_south_creek_odd,-5.211483285432562e-4,2.0466024226446666e-4,-2.5464072688324895
fixed,NA,S:population_namejenny_bay_east_creek_odd,-0.001867772043650087,0.0011722702253625628,-1.5932947909449953
ran_pars,area:year_fac,sd__(Intercept),0.47280410376863713,NA,NA
ran_pars,year_fac,sd__(Intercept),0.6675048883161674,NA,NA
ran_pars,Residual,sd__Observation,1.1724929170106717,NA,NA
