MLE,lower,upper,year,predict,scenario,min_pop,MLEround,lowerround,upperround
27.4774773024338,15.9967450124589,37.1977072675321,2016,estimated,scenario-1-in,3,27.477,15.997,37.198
9.41232291678876,6.60236609571485,12.1377395090985,2017,predicted,scenario-1-in,3,9.412,6.602,12.138
10.4432762551877,7.33278721838595,13.4493578995834,2018,predicted,scenario-1-in,3,10.443,7.333,13.449
3.38442553407539,2.28882928576509,4.46773730016591,2019,predicted,scenario-1-in,3,3.384,2.289,4.468
16.4237694921504,11.6802891219394,20.9124867319246,2020,predicted,scenario-1-in,3,16.424,11.68,20.912
6.60573348912489,4.5757347457393,8.59254725343659,2021,predicted,scenario-1-in,3,6.606,4.576,8.593
94.0786414869852,77.8828823447739,98.4680111707887,2002,estimated,scenario-1-yr,20,94.079,77.883,98.468
61.2543744439688,39.7167549839504,75.3813299445852,2003,estimated,scenario-1-yr,20,61.254,39.717,75.381
11.5717063195302,6.35365276704371,16.6232064290169,2004,estimated,scenario-1-yr,20,11.572,6.354,16.623
70.015871364973,47.4262553600998,83.1468045196378,2005,estimated,scenario-1-yr,20,70.016,47.426,83.147
42.2802912874324,25.42439816917,55.6225271609581,2006,estimated,scenario-1-yr,20,42.28,25.424,55.623
12.6301564123481,6.95366361703512,18.0943087137,2007,estimated,scenario-1-yr,20,12.63,6.954,18.094
10.8107087538426,5.92432758617203,15.5603002305716,2008,estimated,scenario-1-yr,20,10.811,5.924,15.56
7.97474276236728,4.33923000982051,11.5610985122826,2009,estimated,scenario-1-yr,20,7.975,4.339,11.561
1.4958008170869,0.801250824144384,2.20332946231467,2010,estimated,scenario-1-yr,20,1.496,0.801,2.203
9.28407026866936,5.06817561606922,13.4149150533501,2011,estimated,scenario-1-yr,20,9.284,5.068,13.415
2.68739320370375,1.44361497340002,3.94715193693957,2012,estimated,scenario-1-yr,20,2.687,1.444,3.947
6.32607370456798,3.42820447262161,9.20882950256159,2013,estimated,scenario-1-yr,20,6.326,3.428,9.209
