year,model,closed form,observed cells,ratio
2015,motile-only,1.802392119743255,0.40093220999744145,0.22244449784575898
2016,motile-only,0.6820009249903366,0.1388287458986278,0.20356093490722887
2017,motile-only,0.22020358130912202,0.057451630248962,0.260902342765767
2018,motile-only,0.1886405688138376,0.045530020253037005,0.24135858229927679
2019,motile-only,0.7209298327148276,0.1829015731300227,0.25370232279230925
2020,motile-only,0.42080178559889575,0.1074080835403133,0.25524626371878956
2021,motile-only,0.7567627016724238,0.17430919826529345,0.23033534538644035
2022,motile-only,0.6781221823431532,0.1893080342420547,0.27916508141339386
2023,motile-only,0.09478643631377642,0.025780851266233133,0.27198882317813333
2024,motile-only,0.3252198482940067,0.08114229521285331,0.2494998249291928
2025,motile-only,0.31682672266909073,0.07981438965943914,0.25191811153758387
